tcp,nFlows,n,throughput_mean,throughput_std,loss_mean,loss_std,delay_mean,delay_std,jitter_mean,jitter_std,retx_mean,retx_std
experts,3,3,4.4629,0.6425,2.7429,1.6392,46.27,37.95,4.3633,2.2193,11664,11284
experts,7,3,7.3566,2.0790,1.2007,0.4050,37.84,28.05,4.6042,2.4708,13789,5534
experts,17,3,8.2170,1.6590,1.5254,0.6181,81.19,29.78,3.3695,0.6671,10140,4430
ml,3,3,4.2949,1.0639,1.8705,1.6107,39.75,41.49,4.7747,0.7427,11781,10621
ml,7,3,7.9210,2.7981,1.5687,1.0030,93.99,66.08,4.7400,2.4303,15187,12756
ml,17,3,8.4460,1.7853,1.7991,0.7161,83.62,63.64,5.0915,0.4008,16112,3474
newreno,3,3,4.6938,1.9136,4.8449,3.3951,85.95,27.85,7.4002,4.8249,9719,9322
newreno,7,3,7.6439,1.7315,2.2215,0.6775,104.77,13.71,4.3720,1.4934,10853,6777
newreno,17,3,7.3540,1.5314,2.2740,1.0834,106.97,34.28,5.9193,0.8532,13502,3523
plus,3,3,3.6953,0.9771,3.6181,0.6977,67.73,27.67,7.6107,2.7300,12739,8936
plus,7,3,8.2518,5.9772,1.8129,0.5225,107.38,24.20,5.0470,1.7284,12376,6892
plus,17,3,7.6335,2.1888,2.2406,0.7288,103.44,39.88,5.1199,0.3278,13174,3847
