tcp,nFlows,seed,txPackets,rxPackets,lostPackets,retransmissions,lossRate,throughput_Mbps,delay_ms,jitter_ms
ml,17,1,71317,70123,1132,12138,1.58728,6.4261,30.4268,4.90201
ml,17,2,64492,62766,1675,18572,2.59722,9.81264,66.3056,4.82058
ml,17,3,59368,58508,720,17626,1.21277,9.09916,154.125,5.55195
ml,3,1,14673,14119,543,885,3.70067,5.15295,87.4404,4.29233
ml,3,2,10224,10032,127,12356,1.24218,4.62729,19.8656,5.62991
ml,3,3,21385,21242,143,22103,0.668693,3.10448,11.9512,4.40171
ml,7,1,66502,65599,852,4645,1.28116,6.76103,111.077,2.24878
ml,7,2,21087,20503,566,11550,2.68412,5.88941,149.86,7.1045
ml,7,3,38737,38415,287,29366,0.740894,11.1126,21.0472,4.86686
newreno,17,1,77429,76194,1079,9494,1.39353,6.13908,80.3826,6.7107
newreno,17,2,70869,68283,2469,16110,3.48389,6.84868,94.8564,6.03167
newreno,17,3,71280,69702,1386,14902,1.94444,9.07423,145.657,5.01538
newreno,3,1,15865,15204,644,2253,4.05925,5.12713,110.128,4.00359
newreno,3,2,7298,6623,625,6736,8.56399,2.60078,92.2133,12.9231
newreno,3,3,31128,30433,595,20167,1.91146,6.35359,55.5015,5.27406
newreno,7,1,66754,65510,1132,5950,1.69578,7.22307,90.4562,2.74662
newreno,7,2,30944,29943,924,8023,2.98604,6.16152,117.788,4.68594
newreno,7,3,34648,33588,687,18586,1.9828,9.54696,106.064,5.68356
plus,17,1,72560,70862,1544,8822,2.12789,5.80731,64.6814,5.39884
plus,17,2,68165,66039,2058,16124,3.01914,7.03336,101.282,5.20205
plus,17,3,65154,63976,1026,14575,1.57473,10.0598,144.36,4.75884
plus,3,1,17627,16917,666,3782,3.77829,4.79594,99.3752,4.46249
plus,3,2,10375,9909,438,12781,4.22169,3.35965,55.7231,9.32519
plus,3,3,19585,19025,559,21654,2.85423,2.9302,48.0833,9.04439
plus,7,1,62968,62064,822,6096,1.30542,4.14988,79.5637,3.18082
plus,7,2,33372,32492,784,11283,2.34927,5.49559,123.577,5.36743
plus,7,3,33911,33204,605,19749,1.78408,15.1098,119.01,6.59267
