tcp,nFlows,n,throughput_mean,throughput_std,loss_mean,loss_std,delay_mean,delay_std,jitter_mean,jitter_std,goodput_mean,retx_pct
adaptive,3,3,5.4266,1.1185,0.8418,0.4322,81.64,75.40,2.8033,0.4437,37900,42.1095
adaptive,7,3,7.7588,3.6363,1.0860,0.5476,57.82,24.45,3.5673,0.4282,83501,27.2535
adaptive,17,3,7.3462,2.8552,1.0832,0.2326,36.84,30.00,4.0397,0.8932,156581,19.0274
adaptive,34,3,8.4047,1.2390,1.5922,0.3995,58.04,22.93,5.7801,0.3081,166101,19.9410
experts,3,3,6.3331,2.8050,0.8847,0.3726,73.37,86.05,3.2609,0.4819,48708,39.9422
experts,7,3,7.0686,3.7868,1.1025,0.5180,53.86,39.91,4.1090,0.5880,59334,41.2278
experts,17,3,6.1149,0.8951,1.3319,0.0700,65.64,49.50,5.1850,0.6795,112769,33.5611
experts,34,3,6.9960,1.3751,1.4507,0.1220,59.86,24.96,4.9092,0.7996,187662,16.7295
kalman,3,3,7.1199,2.0573,0.5469,0.5016,32.09,34.21,2.9598,1.0122,58209,36.3262
kalman,7,3,6.5156,1.9381,1.0382,0.5236,46.33,27.28,3.4213,0.7923,88937,29.4947
kalman,17,3,6.1349,3.7070,0.9007,0.3088,43.51,22.39,3.6704,1.0084,147540,14.3081
kalman,34,3,9.6341,1.5915,1.3619,0.1937,67.82,34.38,4.9577,1.0251,184724,15.1951
ml,3,3,5.9732,1.3239,0.5496,0.5238,89.71,114.61,2.9287,1.4988,50421,38.6049
ml,7,3,6.2463,2.5131,0.9636,0.4942,55.92,24.74,3.6918,0.8252,80343,37.2886
ml,17,3,6.8770,1.1419,0.8735,0.1309,43.49,36.06,3.8238,0.3268,148270,21.4853
ml,34,3,8.2553,2.1948,1.3395,0.3094,50.77,12.49,4.9654,0.7770,195993,16.4857
newreno,3,3,5.8009,2.0623,1.3757,0.6365,82.16,28.75,4.4488,2.7034,60266,56.0180
newreno,7,3,6.4864,1.8598,1.7666,0.6766,76.39,24.79,5.2101,2.4234,103553,32.7162
newreno,17,3,9.1376,1.0678,1.3469,0.1358,101.56,25.15,4.2808,0.4232,196426,14.1627
newreno,34,3,14.6428,1.8687,1.7796,0.1228,98.29,20.67,4.6562,0.5728,240157,9.7466
plus,3,3,4.3348,1.9329,1.1923,1.0163,111.79,98.50,4.5426,2.7486,60588,41.7087
plus,7,3,6.8174,1.7388,1.5980,0.5113,71.09,27.37,5.1388,2.0798,106087,28.4299
plus,17,3,9.5385,0.1379,1.2355,0.0957,88.67,19.23,4.0145,0.3445,193141,16.3632
plus,34,3,11.5659,1.1012,1.4414,0.1202,85.76,22.62,4.5997,0.4079,247152,8.8464
