tcp,minSpeed,maxSpeed,seed,txPackets,rxPackets,lostPackets,retransmissions,lossRate,throughput_Mbps,goodput_pkts,delay_ms,jitter_ms
experts,1,10,1,98740,96015,2743,56727,2.778,14.4296,96015,49.1776,11.0464
experts,1,10,2,105438,101933,3513,85120,3.33182,13.0817,101933,41.4221,11.3168
experts,1,10,3,90069,87782,2309,77176,2.56359,14.0803,87782,37.6178,10.5005
experts,20,30,1,102856,99491,3369,44992,3.27545,19.2967,99491,48.367,10.5263
experts,20,30,2,98917,96428,2493,39445,2.52029,17.2984,96428,39.9132,9.50482
experts,20,30,3,103310,100567,2750,54581,2.66189,14.3066,100567,41.5491,9.3013
experts,40,50,1,91338,87479,3862,27336,4.22825,9.53461,87479,45.405,10.4494
experts,40,50,2,99257,95575,3690,31664,3.71762,13.2147,95575,53.2708,8.67365
experts,40,50,3,93174,89966,3209,30579,3.44409,8.1868,89966,39.0232,8.7294
adaptive,1,10,1,97345,94651,2717,56669,2.7911,16.9601,94651,56.228,10.0973
adaptive,1,10,2,101090,98344,2756,72493,2.72628,10.1174,98344,36.2729,11.3712
adaptive,1,10,3,95953,93582,2391,80399,2.49184,10.4874,93582,26.6632,10.6507
adaptive,20,30,1,102824,99332,3496,42853,3.39998,17.732,99332,52.9469,9.96632
adaptive,20,30,2,105231,102346,2888,47960,2.74444,11.6193,102346,28.3762,9.07031
adaptive,20,30,3,100131,97574,2567,51424,2.56364,13.7311,97574,36.8441,9.50075
adaptive,40,50,1,96494,92587,3910,25341,4.05207,8.19991,92587,43.1361,11.211
adaptive,40,50,2,94312,90592,3736,33447,3.96132,11.003,90592,49.3784,8.95093
adaptive,40,50,3,91207,88457,2753,28647,3.01841,8.08944,88457,38.3924,8.54134
kalman,1,10,1,98138,95720,2438,62994,2.48426,15.8671,95720,35.6518,9.83673
kalman,1,10,2,105193,102237,2963,79864,2.81673,9.26333,102237,32.692,10.6833
kalman,1,10,3,101059,98790,2285,80471,2.26106,14.7926,98790,27.2625,9.70437
kalman,20,30,1,100799,97622,3183,40271,3.15777,18.4697,97622,45.8414,9.45168
kalman,20,30,2,93746,91470,2280,38138,2.4321,13.8272,91470,30.8463,8.8214
kalman,20,30,3,103861,100798,3069,56425,2.95491,14.8336,100798,34.9644,9.2617
kalman,40,50,1,94817,91440,3381,27943,3.56582,9.66537,91440,48.9745,9.59952
kalman,40,50,2,94796,91466,3341,29468,3.52441,13.8234,91466,65.4336,9.8786
kalman,40,50,3,90511,87815,2701,32113,2.98417,12.7648,87815,40.3863,7.88436
ml,1,10,1,96418,93565,2866,60011,2.97247,15.966,93565,46.5037,9.75351
ml,1,10,2,102439,100063,2386,71663,2.32919,9.52363,100063,32.8189,9.45664
ml,1,10,3,98913,96185,2747,86172,2.77719,12.8133,96185,37.1749,11.5417
ml,20,30,1,99809,96497,3317,45286,3.32335,17.076,96497,55.5937,9.9988
ml,20,30,2,99218,96798,2424,42731,2.44311,17.4903,96798,49.5933,9.21115
ml,20,30,3,94928,92216,2719,44461,2.86428,16.1549,92216,32.4597,9.21737
ml,40,50,1,90215,86747,3472,26114,3.84858,10.271,86747,40.3543,9.65341
ml,40,50,2,98132,94808,3337,32982,3.40052,11.139,94808,58.8095,9.34749
ml,40,50,3,97575,94201,3375,34741,3.45888,10.7705,94201,41.2982,9.42165
plus,1,10,1,95807,92890,2945,51360,3.07389,22.1073,92890,79.2716,10.5356
plus,1,10,2,101924,98739,3196,78456,3.13567,13.6665,98739,50.4049,12.1559
plus,1,10,3,91810,89045,2785,70412,3.03344,15.2743,89045,49.3209,9.89236
plus,20,30,1,101687,98015,3676,35305,3.61501,23.3587,98015,67.3528,9.35944
plus,20,30,2,96624,93817,2814,38026,2.91232,21.7483,93817,51.0575,9.7081
plus,20,30,3,96099,93030,3075,51863,3.19983,20.8977,93030,58.8896,9.67689
plus,40,50,1,94339,91047,3295,28887,3.49272,13.6566,91047,61.946,10.2808
plus,40,50,2,97087,92636,4464,27340,4.59794,17.4208,92636,77.3953,8.80215
plus,40,50,3,93995,90639,3361,33708,3.57572,16.5603,90639,61.6283,9.0139
newreno,1,10,1,98946,95038,3925,65699,3.96681,21.4914,95038,82.4451,13.2095
newreno,1,10,2,98174,94673,3514,83226,3.57936,15.3297,94673,62.6228,12.7215
newreno,1,10,3,93860,90531,3346,83198,3.56488,17.699,90531,66.8505,11.789
newreno,20,30,1,100783,96535,4254,39918,4.22095,20.9463,96535,71.0706,11.7192
newreno,20,30,2,92293,89479,2827,33668,3.06307,21.2873,89479,65.3315,10.2855
newreno,20,30,3,96899,93582,3327,48608,3.43347,21.4432,93582,64.7372,10.0012
newreno,40,50,1,96636,92302,4341,27224,4.49211,14.2054,92302,65.1284,11.1903
newreno,40,50,2,97248,93263,3996,32351,4.10908,17.9764,93263,66.6104,10.8724
newreno,40,50,3,96615,92677,3948,31430,4.08632,18.377,92677,56.0997,9.85251
