tcp,minSpeed,maxSpeed,seed,txPackets,rxPackets,lostPackets,retransmissions,lossRate,throughput_Mbps,goodput_pkts,delay_ms,jitter_ms
experts,1,10,1,97958,95171,2806,65406,2.86449,17.1824,95171,44.0241,9.09856
experts,1,10,2,103088,100643,2449,70240,2.37564,9.51579,100643,25.5528,10.1451
experts,1,10,3,96114,93933,2199,79649,2.28791,12.0241,93933,29.1286,9.54366
experts,20,30,1,105042,101618,3432,47629,3.26726,17.1205,101618,43.0233,10.1293
experts,20,30,2,101584,99254,2337,44894,2.30056,14.7587,99254,28.8147,9.25879
experts,20,30,3,101697,98938,2766,47867,2.71984,15.0035,98938,35.3028,9.14191
experts,40,50,1,97646,94048,3599,33646,3.68576,9.41467,94048,39.412,10.1834
experts,40,50,2,96955,93282,3682,31578,3.79764,14.3185,93282,61.7449,9.09062
experts,40,50,3,95741,92690,3054,23769,3.18986,11.8833,92690,37.1649,8.61815
kalman,1,10,1,98138,95720,2438,62994,2.48426,15.8671,95720,35.6518,9.83673
kalman,1,10,2,105193,102237,2963,79864,2.81673,9.26333,102237,32.692,10.6833
kalman,1,10,3,101059,98790,2285,80471,2.26106,14.7926,98790,27.2625,9.70437
kalman,20,30,1,100799,97622,3183,40271,3.15777,18.4697,97622,45.8414,9.45168
kalman,20,30,2,93746,91470,2280,38138,2.4321,13.8272,91470,30.8463,8.8214
kalman,20,30,3,103861,100798,3069,56425,2.95491,14.8336,100798,34.9644,9.2617
kalman,40,50,1,94817,91440,3381,27943,3.56582,9.66537,91440,48.9745,9.59952
kalman,40,50,2,94796,91466,3341,29468,3.52441,13.8234,91466,65.4336,9.8786
kalman,40,50,3,90511,87815,2701,32113,2.98417,12.7648,87815,40.3863,7.88436
ml,1,10,1,96418,93565,2866,60011,2.97247,15.966,93565,46.5037,9.75351
ml,1,10,2,102439,100063,2386,71663,2.32919,9.52363,100063,32.8189,9.45664
ml,1,10,3,98913,96185,2747,86172,2.77719,12.8133,96185,37.1749,11.5417
ml,20,30,1,99809,96497,3317,45286,3.32335,17.076,96497,55.5937,9.9988
ml,20,30,2,99218,96798,2424,42731,2.44311,17.4903,96798,49.5933,9.21115
ml,20,30,3,94928,92216,2719,44461,2.86428,16.1549,92216,32.4597,9.21737
ml,40,50,1,90215,86747,3472,26114,3.84858,10.271,86747,40.3543,9.65341
ml,40,50,2,98132,94808,3337,32982,3.40052,11.139,94808,58.8095,9.34749
ml,40,50,3,97575,94201,3375,34741,3.45888,10.7705,94201,41.2982,9.42165
plus,1,10,1,95807,92890,2945,51360,3.07389,22.1073,92890,79.2716,10.5356
plus,1,10,2,101924,98739,3196,78456,3.13567,13.6665,98739,50.4049,12.1559
plus,1,10,3,91810,89045,2785,70412,3.03344,15.2743,89045,49.3209,9.89236
plus,20,30,1,101687,98015,3676,35305,3.61501,23.3587,98015,67.3528,9.35944
plus,20,30,2,96624,93817,2814,38026,2.91232,21.7483,93817,51.0575,9.7081
plus,20,30,3,96099,93030,3075,51863,3.19983,20.8977,93030,58.8896,9.67689
plus,40,50,1,94339,91047,3295,28887,3.49272,13.6566,91047,61.946,10.2808
plus,40,50,2,97087,92636,4464,27340,4.59794,17.4208,92636,77.3953,8.80215
plus,40,50,3,93995,90639,3361,33708,3.57572,16.5603,90639,61.6283,9.0139
newreno,20,30,2,92293,89479,2827,33668,3.06307,21.2873,89479,65.3315,10.2855
newreno,20,30,3,96899,93582,3327,48608,3.43347,21.4432,93582,64.7372,10.0012
newreno,40,50,1,96636,92302,4341,27224,4.49211,14.2054,92302,65.1284,11.1903
newreno,40,50,2,97248,93263,3996,32351,4.10908,17.9764,93263,66.6104,10.8724
newreno,40,50,3,96615,92677,3948,31430,4.08632,18.377,92677,56.0997,9.85251
newreno,1,10,1,98946,95038,3925,65699,3.96681,21.4914,95038,82.4451,13.2095
newreno,1,10,2,98174,94673,3514,83226,3.57936,15.3297,94673,62.6228,12.7215
newreno,1,10,3,93860,90531,3346,83198,3.56488,17.699,90531,66.8505,11.789
newreno,20,30,1,100783,96535,4254,39918,4.22095,20.9463,96535,71.0706,11.7192
