sweep,tcp,nNodes,nFlows,packetsPerSec,speed,txPackets,rxPackets,lostPackets,pdr,dropRatio,throughput_Mbps,delay_ms,energy_J
nodes,experts,20,10,100,5,18090,17765,308,98.2034,1.7026,5.35286,21.1463,518.073
nodes,experts,40,10,100,5,20353,18873,650,92.7283,3.19363,3.45564,101.328,1023.4
nodes,experts,60,10,100,5,44455,41903,1948,94.2594,4.38196,8.13627,86.9402,3108.6
nodes,experts,80,10,100,5,0,0,0,0,0,0,0,0
nodes,experts,100,10,100,5,0,0,0,0,0,0,0,0
nodes,adaptive,20,10,100,5,16394,16110,271,98.2677,1.65304,4.16457,26.3327,515.48
nodes,adaptive,40,10,100,5,19218,18781,414,97.7261,2.15423,6.31832,36.7757,1036.34
nodes,adaptive,60,10,100,5,19443,18432,905,94.8002,4.65463,12.484,98.5099,1545.5
nodes,adaptive,80,10,100,5,0,0,0,0,0,0,0,0
nodes,adaptive,100,10,100,5,0,0,0,0,0,0,0,0
nodes,kalman,20,10,100,5,19534,19103,369,97.7936,1.88901,4.34506,25.0577,520.043
nodes,kalman,40,10,100,5,18430,17693,596,96.0011,3.23386,5.14189,57.4351,1027.49
nodes,kalman,60,10,100,5,43135,40239,2818,93.2862,6.53298,6.90637,90.0375,3090.18
nodes,kalman,80,10,100,5,0,0,0,0,0,0,0,0
nodes,kalman,100,10,100,5,0,0,0,0,0,0,0,0
nodes,ml,20,10,100,5,19694,19363,285,98.3193,1.44714,3.93252,27.7028,521.038
nodes,ml,40,10,100,5,18211,17576,478,96.5131,2.62479,4.64183,63.0512,1027.22
nodes,ml,60,10,100,5,19983,18324,859,91.6979,4.29865,7.33071,76.8808,1545.26
nodes,ml,80,10,100,5,0,0,0,0,0,0,0,0
nodes,ml,100,10,100,5,0,0,0,0,0,0,0,0
nodes,plus,20,10,100,5,21519,20491,593,95.2228,2.7557,4.08086,64.6567,524.325
nodes,plus,40,10,100,5,22534,21210,709,94.1244,3.14636,5.32236,121.579,1042.37
nodes,plus,60,10,100,5,23795,20820,2603,87.4974,10.9393,8.4285,180.227,1554.93
nodes,plus,80,10,100,5,22415,20539,1237,91.6306,5.51863,9.68069,144.889,2070.97
nodes,plus,100,10,100,5,0,0,0,0,0,0,0,0
nodes,newreno,20,10,100,5,22555,21895,497,97.0738,2.2035,6.17048,74.2208,524.424
nodes,newreno,40,10,100,5,22948,21406,1160,93.2805,5.05491,4.772,127.41,1039.42
nodes,newreno,60,10,100,5,24819,21186,2410,85.362,9.7103,6.22197,193.001,1543.42
nodes,newreno,80,10,100,5,22849,20305,1666,88.866,7.29135,9.77772,167.238,2061.08
nodes,newreno,100,10,100,5,0,0,0,0,0,0,0,0
flows,experts,20,10,100,5,18090,17765,308,98.2034,1.7026,5.35286,21.1463,518.073
flows,experts,20,20,100,5,22129,21394,567,96.6786,2.56225,5.14293,68.1908,524.791
flows,experts,20,30,100,5,22626,21337,982,94.303,4.34014,4.74813,118.583,525.909
