sweep,tcp,nNodes,nFlows,packetsPerSec,coverageMultiplier,txPackets,rxPackets,lostPackets,pdr,dropRatio,throughput_Mbps,delay_ms,energy_J
nodes,experts,20,10,100,1,6656,6036,515,90.6851,7.73738,0.110742,64.5857,3.62369
nodes,experts,40,10,100,1,6689,6043,549,90.3424,8.2075,0.114707,65.4739,5.16651
nodes,experts,60,10,100,1,6503,6010,380,92.4189,5.84346,0.113451,49.4631,6.66506
nodes,experts,80,10,100,1,6737,6095,536,90.4705,7.95606,0.114755,42.2797,8.25487
nodes,experts,100,10,100,1,6650,5950,565,89.4737,8.49624,0.106678,46.5768,9.7534
nodes,adaptive,20,10,100,1,6558,6110,370,93.1686,5.64196,0.109531,77.2907,3.61803
nodes,adaptive,40,10,100,1,6693,6011,567,89.8102,8.47154,0.122266,63.1526,5.16228
nodes,adaptive,60,10,100,1,6624,6071,464,91.6516,7.00483,0.135276,54.4431,6.69551
nodes,adaptive,80,10,100,1,6653,6012,543,90.3652,8.16173,0.116251,43.7264,8.22747
nodes,adaptive,100,10,100,1,6683,5986,573,89.5706,8.57399,0.121615,64.7219,9.76469
nodes,kalman,20,10,100,1,6226,5811,337,93.3344,5.41279,0.109847,43.2191,3.51422
nodes,kalman,40,10,100,1,6132,5626,424,91.7482,6.91455,0.105945,28.8455,5.00537
nodes,kalman,60,10,100,1,5886,5413,378,91.964,6.42202,0.107492,27.0074,6.46577
nodes,kalman,80,10,100,1,5691,5261,356,92.4442,6.25549,0.0938502,23.379,7.94443
nodes,kalman,100,10,100,1,6236,5657,492,90.7152,7.88967,0.0996849,29.6447,9.63624
nodes,ml,20,10,100,1,6303,5789,414,91.8452,6.5683,0.135514,36.4419,3.52423
nodes,ml,40,10,100,1,6361,5886,403,92.5326,6.33548,0.115495,56.8845,5.08526
nodes,ml,60,10,100,1,6320,5733,481,90.712,7.61076,0.107092,38.6696,6.59056
nodes,ml,80,10,100,1,6223,5669,452,91.0975,7.26338,0.102159,34.0079,8.09983
nodes,ml,100,10,100,1,6267,5753,427,91.7983,6.81347,0.106256,39.2938,9.65642
nodes,plus,20,10,100,1,6504,5973,419,91.8358,6.44219,0.104565,67.1652,3.58754
nodes,plus,40,10,100,1,6635,6055,484,91.2585,7.29465,0.13672,51.2598,5.15896
nodes,plus,60,10,100,1,6530,6033,416,92.389,6.3706,0.114027,51.5646,6.6733
nodes,plus,80,10,100,1,6624,6034,500,91.093,7.54831,0.122397,49.3684,8.22581
nodes,plus,100,10,100,1,6576,6013,451,91.4386,6.85827,0.112707,55.0191,9.75023
nodes,newreno,20,10,100,1,6636,6056,488,91.2598,7.35383,0.120691,70.1655,3.62329
nodes,newreno,40,10,100,1,6695,6046,543,90.3062,8.11053,0.138147,48.7127,5.16801
nodes,newreno,60,10,100,1,6589,6002,521,91.0912,7.90712,0.12804,44.6563,6.67879
